Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Berries,Ericaceae,Blueberries,Early-season,Misty,Greenhouse Sow,,04/21/2020,,,,,,,,04/21/2020,90,26,07/20/2020,08/15/2020,0 bed ft.,,1.0,in,1,0.0,,0,0,0,,,,,,0.00,,,,,,,,,,,Pounds,0.000 lb/row ft,$0.00/lb,0.0 ,$0.00,$0.00/row ft.,Perennial,,,,,,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Cockscomb Coral Reef,Greenhouse Sow,,03/28/2020,,,,,,,,05/08/2020,53,17,06/30/2020,07/17/2020,10 bed ft.,"Goat Field,GH,Block FLR,Beds 1",9.0,in,5,0.1,72 cell flats,2,5,70,14,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,133.3 Stems,$106.66,$2.13/plant,Annual,,,,,,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Texas Plume Summer Sherbert,Greenhouse Sow,,04/08/2020,,,,,,,,06/10/2020,32,17,07/12/2020,07/29/2020,10 bed ft.,"Goat Field,GH,Block FLR,Beds 1",12.0,in,4,0.58,72 cell flats,2,5,42,84,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,7.000 st/pl,$8.00/bn,280.0 Stems,$224.00,$5.60/plant,Annual,,,,,,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Pampas Plume,Greenhouse Sow,,04/08/2020,,,,,,,,06/06/2020,32,17,07/08/2020,07/25/2020,10 bed ft.,"Goat Field,GH,Block FLR,Beds 1",12.0,in,4,0.58,72 cell flats,2,5,42,84,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,7.000 st/pl,$8.00/bn,280.0 Stems,$224.00,$5.60/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Double Click Bicolor Rose,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,62,35,07/11/2020,08/15/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Double Click Snow Puff,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,62,35,07/11/2020,08/15/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Cupcake Blush,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,62,35,07/11/2020,08/15/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Cupcake White,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,62,35,07/11/2020,08/15/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Seashells Mix,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,72,35,07/21/2020,08/25/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$0.00/st,"2,400.0 Stems",$0.00,$0.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Double Click Cranberries,Greenhouse Sow,,04/17/2020,,,,,,,,05/10/2020,57,35,07/06/2020,08/10/2020,10 bed ft.,"White House,Situation,Block FLR,Beds 1",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,400.0 Stems","$1,920.00",$64.00/plant,Annual,,,,,,,,,
