"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5ec9f90a6db96c35c65bee8c","3e7c6dba-25b1-4af0-804e-ef23a13ed5fc","PHYSICAL","mrfc","dah-cafea","Dahlias - Café Au Lait","TODO","DAH-CAFEA","","","","","","","5.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90a6db96c35c65bee8d/1590294796593/comming-soon.png"
"5ec9f90a6db96c35c65beeb7","6cae8bd3-37f1-43bd-b928-c53e4062f7ab","PHYSICAL","mrfc","dah-connc","Dahlias - Conn Coral","TODO","DAH-CONNC","","","","","","","20.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90a6db96c35c65beeb8/1590294796871/comming-soon.png"
"5ec9f90a6db96c35c65beecc","121a9044-29cd-4c02-a7ae-6ae902ad4c60","PHYSICAL","mrfc","dah-cornl","Dahlias - Cornel","TODO","DAH-CORNL","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90a6db96c35c65beecd/1590294797587/comming-soon.png"
"5ec9f90b6db96c35c65beef1","f244dc10-dfe8-43a1-8dcd-a5bb2f9463fc","PHYSICAL","mrfc","dah-dorth","Dahlias - Dorothy","TODO","DAH-DORTH","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90b6db96c35c65beef2/1590294797895/comming-soon.png"
"5ec9f90b6db96c35c65bef30","cbaad258-076f-40f4-8fcb-8099c64e7d0e","PHYSICAL","mrfc","dah-eyeop","Dahlias - Eye Opener Blend","TODO","DAH-EYEOP","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90b6db96c35c65bef31/1590294798611/comming-soon.png"
"5ec9f90c6db96c35c65bef46","8f917a5e-58fd-483e-bae1-e49217f82c11","PHYSICAL","mrfc","dah-frakf","Dahlias - Franz Kafka","TODO","DAH-FRAKF","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90c6db96c35c65bef47/1590294798950/comming-soon.png"
"5ec9f90c6db96c35c65bef86","965bc8db-429b-45b4-8b41-b762b2bbbcda","PHYSICAL","mrfc","dah-giamx","Dahlias Seed Mix (Dahlia variabilis) - Giant Hybrid Mix","TODO","DAH-GIAMX","","","","","","","20.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90c6db96c35c65bef87/1590294799532/comming-soon.png"
"5ec9f90d6db96c35c65bef9d","5f2588a1-326e-4170-a2c1-443286a0c89f","PHYSICAL","mrfc","dah-goldn","Dahlias - Golden Scepter","TODO","DAH-GOLDN","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90d6db96c35c65bef9e/1590294799697/comming-soon.png"
"5ec9f90d6db96c35c65befdb","82aac292-ea48-4e41-afa1-cd44d49c604e","PHYSICAL","mrfc","dah-hamgd","Dahlias - Hamari Gold","TODO","DAH-HAMGD","","","","","","","5.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90d6db96c35c65befdc/1590294800228/comming-soon.png"
"5ec9f90e6db96c35c65beff1","cdc4ca37-df97-44df-b51f-1b6149291a22","PHYSICAL","mrfc","dah-janry","Dahlias - Jan Ryecroft","TODO","DAH-JANRY","","","","","","","16.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/5ec9f90e6db96c35c65beff2/1590294800772/comming-soon.png"
